NUTS1;NUTS2;REF_YEAR;TOTAL;HUSBAND_RESPONSIBLE;WIFE_RESPONSIBLE;BOTH_RESPONSIBLE;NEITHER_RESPONSIBLE;PARAGRAPH_49;PARAGRAPH_55;PARAGRAPH_55a;FOREIGN_LAW;OTHER_CLAUSES
AT3;AT32;1985;804;90;12;27;675;106;28;670;;0
AT3;AT32;1986;729;79;8;33;609;103;25;600;1;0
AT3;AT32;1987;759;76;9;19;655;89;21;648;1;0
AT3;AT32;1988;802;56;7;19;720;52;36;712;;2
AT3;AT32;1989;800;64;5;13;718;61;23;711;4;1
AT3;AT32;1990;803;73;6;18;706;77;24;696;6;0
AT3;AT32;1991;849;35;5;10;799;34;20;793;2;0
AT3;AT32;1992;864;53;8;11;792;46;33;773;11;1
AT3;AT32;1993;821;44;6;11;760;39;25;753;4;0
AT3;AT32;1994;882;55;6;17;804;50;29;797;4;2
AT3;AT32;1995;979;78;8;33;860;64;55;855;5;0
AT3;AT32;1996;1011;76;8;17;910;65;38;899;7;2
AT3;AT32;1997;977;55;6;18;898;44;72;852;4;5
AT3;AT32;1998;1047;59;5;18;965;49;41;947;9;1
AT3;AT32;1999;1040;69;10;20;941;51;53;923;13;0
AT3;AT32;2000;1154;77;9;13;1055;55;51;1040;8;0
AT3;AT32;2001;1124;63;5;17;1039;39;53;1027;5;0
AT3;AT32;2002;1115;67;10;24;1014;51;80;977;7;0
AT3;AT32;2003;1214;78;12;24;1100;70;55;1076;13;0
AT3;AT32;2004;1104;56;7;24;1017;45;50;994;15;0
AT3;AT32;2005;1057;77;17;22;941;58;97;891;11;0
AT3;AT32;2006;1105;76;12;21;996;63;71;960;11;0
AT3;AT32;2007;1148;63;5;23;1057;52;62;1016;17;1
AT3;AT32;2008;1055;64;8;17;966;47;81;923;4;0
AT3;AT32;2009;1053;65;9;14;965;33;73;939;7;1
AT3;AT32;2010;969;69;8;17;875;44;71;845;8;1
AT3;AT32;2011;929;63;10;20;836;42;60;816;11;0
AT3;AT32;2012;971;64;7;16;884;50;44;865;11;1
AT3;AT32;2013;944;63;8;22;851;56;42;839;7;0
AT3;AT32;2014;877;62;11;14;790;48;52;776;;1